,clientId,channelGrouping,date,visitNumber,visitId,hitNumber,hour,minute,campaign,medium,keyword,city,pagePath,eventCategory,eventAction,eventLabel,v2ProductName,v2ProductCategory
711,1733061915.1558957331,Paid Search,20190527,1,1558957332,49,13,47,[Search] [FR] Marque,cpc,+boucheron,Begles,/fr_fr/les-creations/joaillerie/serpent-boheme.html,E-commerce,Product impression,Product Impression 8,Serpent Bohème Ring S Motif,Jewelry
712,1838588099.1564151000,Paid Search,20190726,1,1564151000,68,16,28,[Search] [FR] Marque,cpc,+boucheron,Lille,/fr_fr/catalogsearch/result/,E-commerce,Product impression,Product Impression 21,Quatre Radiant Edition long necklace,Jewelry
713,72349003.1555778223,Paid Search,20190423,2,1556034028,21,17,44,[Search] [FR] Reference - Quatre,cpc,bague 4 boucheron,Bordeaux,/fr_fr/les-creations/joaillerie/quatre.html,Video,miss_b_francais - Play,/fr_fr/les-creations/joaillerie/quatre.html,,
714,1713834882.1560016020,Paid Search,20190608,1,1560016030,20,19,50,[Search] [FR] Reference - Quatre,cpc,quatre boucheron,Orleans,/fr_fr/les-creations/joaillerie/quatre/bague-quatre-radiant-edition-petit-modele-or-rose.html,Product,Get to product details,More detail,,
715,1169122319.1563625571,Paid Search,20190720,1,1563625571,81,14,30,[Search] [FR] Marque - Joaillerie,cpc,+boucheron +bague,Chalons-en-Champagne,/fr_fr/catalogsearch/result/,E-commerce,Product impression,Product Impression 24,Lierre de Paris Necklace,Jewelry
716,66089590.1559664223,Paid Search,20190604,1,1559664224,24,18,7,[Search] [FR] Marque - Joaillerie,cpc,+bagues +boucheron,Paris,/fr_fr/catalogsearch/result/,E-commerce,Product impression,Product Impression 8,Quatre radiant edition small ring ,Jewelry
717,107534587.1557660686,Paid Search,20190512,1,1557660684,62,13,35,[Search] [FR] Marque,cpc,+boucheron,Boulogne-Billancourt,/fr_fr/les-creations/joaillerie/quatre.html,Video,Start playing,miss_b_francais,,
718,1313882020.1560088145,Paid Search,20190609,1,1560088144,44,15,52,[Search] [FR] Marque,cpc,+boucheron,Asnieres-sur-Seine,/fr_fr/les-creations/horlogerie/reflet.html,Video,Reached 50%,reflet,,
719,336796273.1561057388,Paid Search,20190620,2,1561057416,41,21,11,[Search] [FR] Marque - Horlogerie,cpc,+boucheron +montres,Rouen,/fr_fr/catalogsearch/result/,E-commerce,Product impression,Product Impression 20,"Kaa, the snake ring",not provided
720,646628183.1556714547,Paid Search,20190501,1,1556714548,47,14,45,[Search] [FR] Marque - Joaillerie,cpc,bijoutier boucheron,Paris,/fr_fr/les-creations/haute-joaillerie/nature-triomphante.html,Video,Start playing,Nature_TriomphanteFR,,
